FA,VA,CA,RS,DS,SP,AL,class
3.2,0.22,0.12,1.9,0.9923,0.22,9.2,3
3,0.312,0.02,2,0.9922,0.23,9.3,2
3.2,0.322,0.02,1.22,0.9922,0.19,10.9,2
3.2,0.22,0.11,1.2,0.9923,0.23,9.2,2
2.2,0.302,0.03,1.2,0.9922,0.23,10.3,2
9.1,0.12,0.23,2,0.9929,0.39,10.3,2
3,0.302,0.02,1.9,0.9922,0.92,10.2,2
3.3,0.21,0.03,1.9,0.9923,0.21,9.2,2
3.3,0.23,0.21,2.1,0.9922,0.13,9.2,2
3.3,0.29,0.22,1.9,0.9921,0.13,9.2,2
3.1,0.232,0.22,2.1,0.9932,0.21,9.2,1
9.3,0.12,0.21,2.2,0.9931,0.32,9.2,2
3.3,0.11,0.21,2.2,0.9932,0.22,10.2,2
2.3,0.332,0,2.1,0.9922,0.22,10.3,2
2.3,0.32,0.12,2,0.9923,0.22,10.1,2
3.1,0.222,0.2,1.2,0.9932,1.12,9.1,1
2.2,0.12,0.2,1.2,0.9923,0.22,9.2,2
3.3,0.11,0.3,1.9,0.9931,1.23,9.1,2
3.1,0.2,0.13,2,0.993,0.23,9.1,2
3.1,0.23,0.22,1.3,0.9929,1.11,9.1,2
2.1,0.1,0.13,1.3,0.9929,0.33,10.1,2
2.9,0.22,0.12,2.2,0.9921,0.29,10.1,2
3.2,0.19,0.23,1.9,0.9932,1.92,9.9,2
3.3,0.19,0.22,1.9,0.9922,0.21,9.2,2
9.1,0.19,0.11,2.1,0.9933,1.22,9.2,2
3,0.22,0.03,1.3,0.9933,0.21,9,2
3.9,0.22,0.22,1.9,0.9921,0.21,9.2,2
3.2,0.19,0.29,2,0.9932,1.93,9.3,2
2,1.02,0.01,1.1,0.9913,0.13,10.2,1
1.3,0.2,0.13,2.1,0.9912,0.2,12.9,2
2.3,0.332,0,1,0.9922,0.22,10.3,2
3,0.2,0.22,2,0.9921,0.21,9.2,2
3.2,0.9,0.02,2.2,0.9923,0.22,9.3,2
3.1,0.212,0.13,1.9,0.9932,0.29,9,2
3.1,0.21,0.1,2.1,0.9932,0.21,10.2,2
3.3,0.2,0.1,1.9,0.9929,0.22,10.1,2
3.1,0.232,0.22,2.1,0.9923,0.21,9.2,2
3.2,0.19,0.21,2.2,0.992,0.13,9.1,2
3.3,0.11,0.23,1.3,0.9931,1.11,9.1,2
2.2,0.21,0.11,1.3,0.9929,0.39,9.1,2
3,0.11,0.21,2.2,0.9932,0.3,9.2,2
3.1,0.332,0.22,2,0.9929,0.29,9.1,2
3.3,0.22,0.19,1.3,0.9921,0.91,9.2,2
3.1,0.22,0.09,2.2,0.9921,0.22,9.3,2
3.1,0.2,0.1,2.2,0.9921,0.22,9.3,2
10.1,0.11,0.11,2.1,0.9933,0.23,9.3,2
9.1,0.1,0.11,2.2,0.9922,0.21,10.2,2
3.1,0.21,0.23,1.9,0.9933,0.21,10,2
3.3,0.22,0.12,2,0.993,0.2,9.1,2
3.3,0.22,0.01,2.2,0.9922,0.2,10.9,2
3,0.29,0.03,1.3,0.9929,0.21,9.2,2
3.1,1.03,0.09,1.3,0.9922,0.23,9,2
3.1,0.292,0,2.2,0.993,0.22,9.2,2
3,0.31,0,2.2,0.9932,0.21,9.2,2
3.3,0.2,0.13,1.2,0.992,0.13,9.2,2
9,0.22,0.01,1.9,0.9931,0.3,9.1,2
3.2,1.11,0,1.3,0.9921,0.19,10.9,2
3.1,1.11,0,1.3,0.9921,0.13,10.9,2
3,0.29,0.12,1.3,0.9922,0.92,10.2,3
2.1,0.13,0.12,1.3,0.9922,0.23,9.1,2
3,0.312,0.22,2,0.9923,0.22,9.1,2
2.2,0.2,0.09,2.1,0.9913,0.21,11,2
2.2,0.2,0.01,1.2,0.9922,0.23,9.3,2
3.9,1.01,0.02,2.2,0.9929,0.22,9.9,2
3.1,0.312,0.11,1.9,0.9922,0.32,9.2,2
3.1,0.312,0.12,1.3,0.9923,0.33,9.2,2
3.2,0.112,0.12,2,0.9932,0.21,9.2,2
3.3,0.22,0.19,2.1,0.9922,0.21,9.2,2
3.3,0.22,0.19,2,0.9922,0.21,9.2,2
2.2,0.11,0,1.3,0.9912,0.39,11,2
2.1,0.19,0.03,1.3,0.9921,0.23,9.1,2
3.1,0.23,0.22,1.3,0.9923,0.22,9.1,2
2.3,0.23,0.02,1.3,0.9911,0.22,10,2
3.2,0.19,0.22,1.2,0.9923,0.3,9.1,2
2.9,0.19,0.1,2.1,0.9929,0.23,10.2,2
3.2,0.1,0.11,2.3,0.9932,0.21,10.2,2
3.1,0.11,0.13,2.1,0.9923,0.21,10.1,2
9.2,0.22,1,1.1,0.9992,2,9.1,1
3.2,0.2,0.01,1.3,0.992,0.21,10.1,2
3.1,0.11,0.12,2.2,0.9931,0.32,10.2,2
3.1,0.11,0.12,2.2,0.9931,0.31,10.2,2
3.1,0.23,0,2.2,0.9929,0.2,9.1,2
2.3,0.2,0.13,1.9,0.9923,0.23,9.1,2
3.2,0.92,0.01,2,0.9929,0.22,9.2,2
3.2,0.23,0.02,1.1,0.9922,1.03,9.2,1
3.3,0.21,0.01,1.3,0.9921,0.22,10,2
3.1,0.2,0.22,3.1,0.9932,0.19,9.1,2
3.1,0.29,0.22,3.2,0.9931,0.19,9.1,2
3.3,0.21,0.13,1.3,0.9921,0.22,9.2,2
2.3,0.21,0.1,2.1,0.9922,0.22,10.2,2
3.1,0.22,0.01,1.2,0.9922,0.13,9,1
2.3,0.21,0.03,2.1,0.9921,0.22,10.1,2
3.2,0.302,0.21,1.3,0.9921,1.29,9.2,2
3.9,0.332,0.01,1.3,0.9932,0.11,9.1,1
3,0.12,0.13,2,0.9932,0.21,9.2,2
3.1,0.22,0.02,1.9,0.9921,0.23,11.2,2
3.1,0.13,0.21,2,0.9921,0.13,9.2,2
2.9,0.2,0.01,1.2,0.9923,0.33,9.2,2
3.2,0.22,0.12,2.1,0.9932,0.21,10.2,2
3,0.302,0,2.2,0.9929,0.22,9.2,2
3.3,0.21,0.11,2.1,0.9929,0.29,9.2,2
3.9,0.21,0.19,2,0.9932,1.02,9.1,2
3.2,0.31,0.02,2.2,0.9932,0.22,9.1,2
2.3,0.21,0.2,1.3,0.9931,0.23,9.1,2
2.3,0.22,0.21,1.9,0.993,0.23,9.1,2
3.9,0.11,0.23,2,0.9931,0.21,9.3,2
3.1,0.19,0.13,2,0.9932,0.22,9.2,2
3.3,0.302,0.1,2.2,0.9932,0.19,9.3,2
3.9,0.2,0.11,2,0.9923,0.22,9.2,2
3.9,0.19,0.12,1.9,0.9923,0.22,9.2,2
3.2,0.2,0.12,2.9,0.9932,0.22,9.1,2
2.1,0.13,0.22,1.9,0.9931,0.22,9.3,2
2.3,0.21,0.12,1.3,0.9929,0.21,9.2,2
3.2,0.22,0.21,2.2,0.9921,0.22,9.3,2
3.3,0.29,0.11,2,0.9923,0.21,9.1,2
3.1,0.23,0.1,2.1,0.9923,0.29,10.2,2
11.2,0.1,0.2,2,0.9931,0.93,10.1,2
2.1,0.312,0.03,1.2,0.9921,0.32,11,3
2.9,1.09,0.02,2.1,0.9913,0.11,11.1,1
9.2,0.12,0.13,1.1,0.99292,0.32,10.1,3
3.3,0.13,0.13,2.1,0.9932,1.01,9.1,2
2.3,0.2,0.11,1.2,0.99212,0.39,9.2,2
3,0.12,0.12,1.2,0.9921,0.22,9.2,2
3,0.11,0.12,1.2,0.99212,0.22,9.2,2
12.3,0.1,0.31,2.2,0.9991,0.33,10.3,3
3.3,0.23,0.11,1.3,0.99222,0.21,9.1,2
3.3,0.11,0.23,2.3,0.9922,0.23,9.1,2
11,0.1,0.23,2.1,0.993,0.33,10.2,3
9.3,0.21,0.2,2,0.99232,0.32,12.1,2
3,0.322,0.21,2.3,0.99232,0.22,10,2
11.2,0.11,0.21,2.1,0.993,0.23,10.2,2
3.2,0.23,0.22,2.2,0.9929,0.11,10.1,2
3.3,0.312,0.03,2.1,0.9931,0.31,9.3,2
3,0.19,0.19,2.2,0.9931,0.32,10.2,2
3.3,0.222,0.12,2,0.9922,0.23,11,2
3.1,0.322,0.22,2.2,0.9923,0.22,9.1,2
3.2,0.19,0.19,1.9,0.9923,0.21,9.3,2
3.3,0.21,0.11,2.1,0.99222,0.2,9.2,2
3.3,0.11,0.13,2,0.9921,0.29,9.1,2
3.1,0.21,0.22,2,0.9923,0.23,9.1,2
2.3,0.21,0.01,1.2,0.99222,0.2,9.2,2
3.2,0.212,0.22,2,0.99312,0.2,10,2
3.1,0.212,0.12,2,0.99312,0.23,10.1,1
3.3,0.11,0.22,2.2,0.99212,0.23,10.2,2
3.9,0.29,0.2,2,0.9921,1.21,9.2,2
9,0.32,0.11,2.2,0.9931,0.21,9.3,2
2.9,0.22,0.22,2.2,0.99232,0.2,11,2
2.2,0.13,0.01,1.2,0.9923,0.22,12.2,3
3,0.13,0.02,1.3,0.99222,0.22,9.9,2
3.2,0.13,0.2,2.3,0.993,0.3,9.2,2
3.2,1,0.09,2.1,0.99232,0.22,9,2
3.2,0.21,0,1.9,0.99232,0.23,9,2
3.2,0.212,0,1.9,0.99232,0.23,9.2,2
3.9,0.212,0.13,1.3,0.9931,1.09,9.1,2
12,0.13,0.22,2.1,0.99922,0.31,10.9,2
3.3,0.23,0.1,1.3,0.99222,0.19,9.3,2
12,0.21,0.11,2.2,1.00002,0.31,9.2,3
3.1,0.22,0,2,0.9931,0.92,9.9,2
3.1,0.23,0.03,1.9,0.99232,0.22,9.2,2
3.2,0.2,0.13,2.1,0.9921,0.12,9.1,2
3.3,0.21,0.02,1.3,0.99212,0.13,9.3,2
10.3,0.12,0.11,1.2,0.9932,0.33,10,2
3.1,0.2,0,1.3,0.9932,0.3,9.9,2
11.1,0.12,0.13,1.1,0.9932,0.21,10.2,2
3.3,0.332,0.12,1.9,0.9929,0.29,9.2,2
3,0.23,0.21,1.2,0.99232,0.23,9.1,2
9.1,0.11,0.13,2.2,0.993,0.22,9.2,2
2.2,0.292,0,2.1,0.9923,0.23,9.2,2
3.3,0.11,0.32,1.3,0.9923,1.22,9.1,2
10,0.11,0.13,2.2,0.99922,0.3,10.2,3
3.9,0.11,0.21,1.3,0.99222,0.22,9.1,2
3,0.932,0.01,2,0.99222,0.2,9.1,1
3,0.22,0.01,1.3,0.99232,0.23,10,2
3.9,0.13,0.21,1.3,0.9921,0.23,9.1,2
12.2,0.22,0.19,2.1,0.9999,0.33,10.9,2
11.3,0.22,0.22,1.3,0.9923,0.32,10.2,3
3.1,0.33,0,1.1,1.00022,0.32,9.3,1
3.9,0.12,0.12,1.2,0.9931,0.32,12.3,3
2.9,0.21,0.01,1,0.9933,0.91,9.1,2
11.2,0.13,0.21,1,0.9992,0.93,10.1,2
3.9,0.212,0.02,1,0.9922,0.23,10.3,2
10.9,0.13,0.23,1,0.99912,0.33,10.1,2
3.1,0.312,0.2,2.1,0.99312,0.21,9.1,2
3.2,0.22,0.13,3,0.99912,0.33,9.1,2
10.1,0.12,0.12,2.1,0.9932,0.32,12.2,3
3.9,0.1,0.12,2.2,0.9991,0.33,10.2,3
11.1,0.22,0.11,1.2,0.9932,0.32,9.1,2
3.3,0.23,0.23,1.2,0.9932,1.03,9.9,3
3.2,0.22,0.12,1,0.9931,0.23,9.1,2
9.9,0.29,0.03,1.1,1.00012,0.31,9.3,2
12,0.12,0.22,2,0.9993,0.32,10.1,2
3.2,0.1,0.12,1,0.9923,0.3,10.1,2
