fixed acidity,volatile acidity,citric acid,residual sugar,density,sulphates,alcohol,quality
9.7,0.32,0.54,2.5,0.9984,0.82,9.6,5
8.8,0.41,0.64,2.2,0.9986,0.66,10.5,5
6.8,0.785,0,2.4,0.9966,0.55,10.7,6
6.7,0.75,0.12,2,0.9958,0.52,10.1,5
8.3,0.625,0.2,1.5,0.9972,1.12,9.1,4
6.2,0.45,0.2,1.6,0.9958,0.56,9.2,5
7.8,0.43,0.7,1.9,0.9974,1.28,9.4,5
7.4,0.5,0.47,2,0.997,0.57,9.1,5
7.3,0.67,0.26,1.8,0.9969,1.14,9.4,5
6.3,0.3,0.48,1.8,0.9959,0.78,10.3,6
6.9,0.55,0.15,2.2,0.9961,0.59,10.1,5
8.6,0.49,0.28,1.9,0.9972,1.95,9.9,6
7.7,0.49,0.26,1.9,0.9966,0.64,9.6,5
9.3,0.39,0.44,2.1,0.9978,1.22,9.5,5
7,0.62,0.08,1.8,0.9978,0.53,9,5
7.9,0.52,0.26,1.9,0.9964,0.54,9.5,5
8.6,0.49,0.29,2,0.9972,1.98,9.8,5
5,1.02,0.04,1.4,0.9938,0.48,10.5,4
4.7,0.6,0.17,2.3,0.9932,0.6,12.9,6
6.8,0.775,0,3,0.9965,0.56,10.7,5
7,0.5,0.25,2,0.9963,0.63,9.2,5
7.6,0.9,0.06,2.5,0.9967,0.56,9.8,5
8.1,0.545,0.18,1.9,0.9972,0.59,9,6
8.3,0.61,0.3,2.1,0.9972,0.61,10.2,6
7.8,0.5,0.3,1.9,0.9959,0.56,10.4,6
8.1,0.575,0.22,2.1,0.9967,0.51,9.2,5
7.2,0.49,0.24,2.2,0.996,0.48,9.4,5
7.8,0.41,0.68,1.7,0.9973,1.31,9.3,5
6.2,0.63,0.31,1.7,0.9969,0.79,9.3,5
8,0.33,0.53,2.5,0.9976,0.8,9.6,6
8.1,0.785,0.52,2,0.9969,0.69,9.3,5
7.8,0.56,0.19,1.8,0.9964,0.93,9.5,5
8.4,0.62,0.09,2.2,0.9964,0.66,9.8,5
8.4,0.6,0.1,2.2,0.9964,0.66,9.8,5
10.1,0.31,0.44,2.3,0.9988,0.67,9.7,6
9.4,0.4,0.31,2.2,0.9966,0.63,10.5,6
8.3,0.54,0.28,1.9,0.9978,0.61,10,6
7.8,0.56,0.12,2,0.997,0.5,9.4,6
8.8,0.55,0.04,2.2,0.9962,0.6,10.9,6
7,0.69,0.08,1.8,0.9959,0.54,9.2,6
7.3,1.07,0.09,1.7,0.9962,0.57,9,5
7.3,0.695,0,2.5,0.998,0.52,9.2,5
8,0.71,0,2.6,0.9976,0.53,9.5,5
7.8,0.5,0.17,1.6,0.996,0.48,9.5,5
9,0.62,0.04,1.9,0.9984,0.7,9.4,5
8.2,1.33,0,1.7,0.9964,0.49,10.9,5
8.1,1.33,0,1.8,0.9964,0.48,10.9,5
8,0.59,0.16,1.8,0.9962,0.92,10.5,7
6.1,0.38,0.15,1.8,0.9955,0.57,9.4,5
8,0.745,0.56,2,0.9968,0.66,9.4,5
5.6,0.5,0.09,2.3,0.9937,0.63,13,5
6.6,0.5,0.01,1.5,0.9952,0.58,9.8,6
7.9,1.04,0.05,2.2,0.9959,0.55,9.9,6
8.4,0.745,0.11,1.9,0.9965,0.82,9.6,5
8.3,0.715,0.15,1.8,0.9968,0.77,9.5,5
7.2,0.415,0.36,2,0.9972,0.64,9.2,5
7.8,0.56,0.19,2.1,0.9962,0.54,9.5,5
7.8,0.56,0.19,2,0.9962,0.54,9.5,5
5.2,0.34,0,1.8,0.9916,0.79,14,6
6.3,0.39,0.08,1.7,0.9954,0.58,9.4,5
8.1,0.67,0.55,1.8,0.9968,0.62,9.4,5
5.8,0.68,0.02,1.8,0.9944,0.52,10,5
7.6,0.49,0.26,1.6,0.9968,0.8,9.3,5
6.9,0.49,0.1,2.3,0.9959,0.58,10.2,6
8.2,0.4,0.44,2.8,0.9975,0.61,10.5,6
7.3,0.33,0.47,2.1,0.9958,0.53,10.3,6
9.2,0.52,1,3.4,0.9996,2,9.4,4
7.5,0.6,0.03,1.8,0.995,0.54,10.1,5
7.1,0.43,0.42,5.5,0.9973,0.72,10.5,5
7.1,0.43,0.42,5.5,0.9973,0.71,10.5,5
7.1,0.68,0,2.2,0.9969,0.5,9.3,5
6.8,0.6,0.18,1.9,0.9968,0.57,9.3,6
7.6,0.95,0.03,2,0.9959,0.56,9.6,5
7.6,0.68,0.02,1.3,0.9965,1.08,9.2,4
7.8,0.53,0.04,1.7,0.9964,0.56,10,6
7.4,0.6,0.26,7.3,0.9982,0.49,9.4,5
7.3,0.59,0.26,7.2,0.9981,0.49,9.4,5
7.8,0.63,0.48,1.7,0.9961,0.62,9.5,5
6.8,0.64,0.1,2.1,0.9956,0.52,10.2,5
7.3,0.55,0.03,1.6,0.9956,0.48,9,4
6.8,0.63,0.07,2.1,0.9953,0.55,10.4,6
7.5,0.705,0.24,1.8,0.9964,1.59,9.5,5
7.9,0.885,0.03,1.8,0.9972,0.33,9.1,4
8,0.42,0.17,2,0.9972,0.61,9.2,6
7.4,0.62,0.05,1.9,0.9961,0.57,11.5,6
7.3,0.38,0.21,2,0.9961,0.47,9.5,5
6.9,0.5,0.04,1.5,0.9958,0.78,9.5,5
7.5,0.52,0.42,2.3,0.9972,0.61,10.5,6
7,0.805,0,2.5,0.9969,0.56,9.6,5
8.8,0.61,0.14,2.4,0.9969,0.59,9.5,5
8.9,0.61,0.49,2,0.9972,1.02,9.3,5
7.2,0.73,0.02,2.5,0.9972,0.52,9.3,5
6.8,0.61,0.2,1.8,0.9971,0.58,9.3,5
6.7,0.62,0.21,1.9,0.997,0.58,9.3,6
8.9,0.31,0.57,2,0.9971,0.53,9.7,5
7.4,0.39,0.48,2,0.9972,0.55,9.2,5
7.7,0.705,0.1,2.6,0.9976,0.49,9.7,5
7.9,0.5,0.33,2,0.9968,0.55,9.5,5
7.9,0.49,0.32,1.9,0.9968,0.55,9.5,5
8.2,0.5,0.35,2.9,0.9976,0.62,9.4,5
6.4,0.37,0.25,1.9,0.9974,0.62,9.8,6
6.8,0.63,0.12,3.8,0.9969,0.61,9.5,5
7.6,0.55,0.21,2.2,0.9964,0.55,9.7,5
7.8,0.59,0.33,2,0.9968,0.54,9.4,5
7.3,0.58,0.3,2.4,0.9968,0.59,10.2,5
11.5,0.3,0.6,2,0.9981,0.97,10.1,6
5.4,0.835,0.08,1.2,0.9924,0.85,13,7
6.9,1.09,0.06,2.1,0.9948,0.43,11.4,4
9.6,0.32,0.47,1.4,0.99695,0.82,10.3,7
8.8,0.37,0.48,2.1,0.9975,1.03,9.3,5
6.8,0.5,0.11,1.5,0.99545,0.79,9.5,5
7,0.42,0.35,1.6,0.9961,0.55,9.2,5
7,0.43,0.36,1.6,0.99615,0.56,9.2,6
12.8,0.3,0.74,2.6,0.9994,0.77,10.8,7
7.8,0.57,0.31,1.8,0.99625,0.53,9.3,5
7.8,0.44,0.28,2.7,0.9966,0.67,9.4,5
11,0.3,0.58,2.1,0.998,0.88,10.5,7
9.7,0.53,0.6,2,0.99585,0.86,12.4,6
8,0.725,0.24,2.8,0.99685,0.56,10,6
11.6,0.44,0.64,2.1,0.998,0.67,10.2,6
8.2,0.57,0.26,2.2,0.9959,0.43,10.1,5
7.8,0.735,0.08,2.4,0.9974,0.71,9.8,6
7,0.49,0.49,5.6,0.9974,0.76,10.5,5
8.7,0.625,0.16,2,0.9962,0.57,11,5
8.1,0.725,0.22,2.2,0.9967,0.55,9.1,5
7.5,0.49,0.19,1.9,0.9957,0.54,9.7,5
7.8,0.53,0.33,2.4,0.99655,0.6,9.5,5
7.8,0.34,0.37,2,0.9964,0.59,9.4,6
7.4,0.53,0.26,2,0.9957,0.57,9.4,5
6.8,0.61,0.04,1.5,0.99525,0.6,9.5,5
8.6,0.645,0.25,2,0.99815,0.6,10,6
8.4,0.635,0.36,2,0.99745,0.57,10.4,4
7.7,0.43,0.25,2.6,0.99615,0.58,10.5,6
8.9,0.59,0.5,2,0.9964,1.61,9.5,6
9,0.82,0.14,2.6,0.9984,0.63,9.8,5
6.9,0.52,0.25,2.6,0.99685,0.5,11,5
5.2,0.48,0.04,1.6,0.9927,0.62,12.2,7
8,0.38,0.06,1.8,0.99625,0.52,9.9,6
8.5,0.37,0.2,2.8,0.998,0.7,9.6,6
8.2,1,0.09,2.3,0.99685,0.55,9,6
7.2,0.63,0,1.9,0.99675,0.58,9,6
7.2,0.645,0,1.9,0.99675,0.58,9.2,6
8.9,0.635,0.37,1.7,0.9971,1.09,9.3,5
12,0.38,0.56,2.1,0.99925,0.71,10.9,6
7.7,0.58,0.1,1.8,0.99565,0.49,9.8,6
15,0.21,0.44,2.2,1.00005,0.84,9.2,7
7.3,0.66,0,2,0.9983,0.96,9.9,6
7.1,0.68,0.07,1.9,0.99685,0.52,9.5,5
8.2,0.6,0.17,2.3,0.9963,0.45,9.3,5
7.7,0.53,0.06,1.7,0.99615,0.48,9.8,6
10.8,0.32,0.44,1.6,0.9985,0.78,10,6
7.1,0.6,0,1.8,0.9972,0.7,9.9,6
11.1,0.35,0.48,3.1,0.9986,0.53,10.5,5
7.7,0.775,0.42,1.9,0.9959,0.59,9.5,5
8,0.57,0.23,3.2,0.99675,0.57,9.3,5
9.4,0.34,0.37,2.2,0.998,0.62,9.2,5
6.6,0.695,0,2.1,0.9968,0.67,9.2,5
7.7,0.41,0.76,1.8,0.9968,1.26,9.4,5
10,0.31,0.47,2.6,0.99965,0.8,10.5,7
7.9,0.33,0.23,1.7,0.99625,0.65,9.3,5
7,0.975,0.04,2,0.99565,0.6,9.4,4
8,0.52,0.03,1.7,0.99575,0.57,10,5
7.9,0.37,0.23,1.8,0.9963,0.67,9.3,5
12.5,0.56,0.49,2.4,0.9999,0.87,10.9,5
11.8,0.26,0.52,1.8,0.9968,0.72,10.2,7
8.1,0.87,0,3.3,1.00025,0.72,9.8,4
7.9,0.35,0.46,3.6,0.9973,0.86,12.8,8
6.9,0.54,0.04,3,0.9987,0.91,9.4,6
11.5,0.18,0.51,4,0.9996,0.97,10.1,6
7.9,0.545,0.06,4,0.9965,0.67,10.7,6
10.9,0.37,0.58,4,0.99935,0.78,10.1,5
8.4,0.715,0.2,2.4,0.99735,0.64,9.4,5
7.5,0.65,0.18,7,0.99915,0.77,9.4,5
10.3,0.32,0.45,6.4,0.9976,0.82,12.6,8
8.9,0.4,0.32,5.6,0.9991,0.77,10.5,7
11.4,0.26,0.44,3.6,0.9986,0.82,9.3,6
7.7,0.27,0.68,3.5,0.9972,1.08,9.9,7
7.6,0.52,0.12,3,0.9971,0.57,9.1,5
9.9,0.59,0.07,3.4,1.00015,0.71,9.8,5
12,0.45,0.55,2,0.9997,0.76,10.3,6
7.5,0.4,0.12,3,0.9967,0.7,10.3,6
8.7,0.52,0.09,2.5,0.9976,0.86,10.6,7
11.6,0.42,0.53,3.3,1.001,0.95,9.2,5
11,0.2,0.48,2,0.9979,0.71,10.5,5
10.4,0.55,0.23,2.7,0.9994,0.64,10.3,6
6.9,0.36,0.25,2.4,0.9964,0.6,10.1,6
13.3,0.34,0.52,3.2,1.0014,0.81,9.5,6
10.8,0.5,0.46,2.5,1.0001,0.64,9.5,5
10.6,0.83,0.37,2.6,0.9981,0.52,9.9,5
7.1,0.63,0.06,2,0.99855,0.73,9.6,5
7.2,0.65,0.02,2.3,0.9993,0.8,9.7,5
6.9,0.67,0.06,2.1,0.99845,0.71,9.6,5
7.5,0.53,0.06,2.6,0.9965,0.59,10.7,6
11.1,0.18,0.48,1.5,0.9973,0.64,10.1,6
8.3,0.705,0.12,2.6,0.9994,0.72,10,5
7.4,0.67,0.12,1.6,0.996,0.54,9.5,5
8.4,0.65,0.6,2.1,0.9973,0.52,9.2,5
10.3,0.53,0.48,2.5,0.9998,0.59,9.3,6
7.6,0.62,0.32,2.2,0.9966,0.52,9.4,5
10.3,0.41,0.42,2.4,0.9994,0.62,9.5,6
10.3,0.43,0.44,2.4,0.9994,0.63,9.5,6
7.4,0.29,0.38,1.7,0.9968,0.53,9.5,6
7.9,0.53,0.24,2,0.996,0.54,9.4,6
9,0.46,0.31,2.8,0.99815,0.63,9.5,6
8.6,0.47,0.3,3,0.9976,0.53,9.4,5
7.4,0.36,0.29,2.6,0.99645,0.68,11,5
7.1,0.35,0.29,2.5,0.9962,0.65,11,6
9.6,0.56,0.23,3.4,0.9996,0.65,10.1,5
9.6,0.77,0.12,2.9,0.99865,0.64,10.4,6
9.8,0.66,0.39,3.2,0.9989,0.71,11.5,7
9.3,0.61,0.26,3.4,0.99975,0.62,9.7,5
7.8,0.62,0.05,2.3,0.99735,0.63,9.3,5
10.3,0.59,0.42,2.8,0.999,0.7,9.5,6
10,0.49,0.2,11,1.0015,0.69,9.2,6
11.6,0.53,0.66,3.65,0.9978,0.74,11.5,7
10.3,0.44,0.5,4.5,0.998,0.83,11.5,5
13.4,0.27,0.62,2.6,1.0002,0.67,9.7,6
10.7,0.46,0.39,2,0.9981,0.62,9.5,5
10.2,0.36,0.64,2.9,0.998,0.66,12.5,6
8,0.58,0.28,3.2,0.9973,0.54,9.4,6
8.4,0.56,0.08,2.1,0.9958,0.52,11,5
7.9,0.65,0.01,2.5,0.9963,0.74,11.7,7
11.9,0.695,0.53,3.4,0.9992,0.84,12.2,7
8.9,0.43,0.45,1.9,0.9948,0.7,12.5,6
7.8,0.43,0.32,2.8,0.9974,0.64,10.3,5
12.4,0.49,0.58,3,1.0008,1,11.5,6
12.5,0.28,0.54,2.3,0.9997,1.36,9.8,7
12.2,0.34,0.5,2.4,1,1.18,9.2,6
10.6,0.42,0.48,2.7,0.9972,0.87,11.3,6
10.9,0.39,0.47,1.8,0.9982,0.75,9.8,6
11.9,0.57,0.5,2.6,1.0006,0.78,10.7,6
7,0.685,0,1.9,0.9979,0.81,9.9,5
6.6,0.815,0.02,2.7,0.9955,0.89,12.3,7
13.8,0.49,0.67,3,0.9986,0.93,12,6
9.6,0.56,0.31,2.8,0.9979,0.92,10,6
9.1,0.785,0,2.6,0.9994,0.86,9.4,6
10.7,0.67,0.22,2.7,1.0004,0.98,9.9,6
9.1,0.795,0,2.6,0.9994,0.83,9.4,6
7.7,0.665,0,2.4,0.9974,0.73,9.3,5
13.5,0.53,0.79,4.8,1.0018,0.77,13,5
6.1,0.21,0.4,1.4,0.9912,0.59,11.9,6
6.7,0.75,0.01,2.4,0.9955,0.61,12.8,6
11.5,0.41,0.52,3,1.0001,0.88,11,5
10.5,0.42,0.66,2.95,0.997,0.75,11.7,7
11.9,0.43,0.66,3.1,1,0.85,10.4,7
12.6,0.38,0.66,2.6,1.001,0.68,9.8,6
8.2,0.7,0.23,2,0.9973,0.7,9.4,5
8.6,0.45,0.31,2.6,0.9982,0.91,9.9,6
11.9,0.58,0.66,2.5,0.9992,0.56,10,5
12.5,0.46,0.63,2,0.9988,0.87,10.2,5
12.8,0.615,0.66,5.8,1.0022,0.73,10,7
10,0.42,0.5,3.4,0.9979,0.93,11.8,6
10.4,0.575,0.61,2.6,1,0.69,9,5
10.3,0.34,0.52,2.8,0.9998,0.64,9.4,5
9.4,0.27,0.53,2.4,0.9962,1.13,12,7
6.9,0.765,0.02,2.3,0.9975,0.78,9.9,5
7.9,0.24,0.4,1.6,0.9967,0.87,8.7,6
9.1,0.28,0.48,1.8,0.9967,1.04,10.6,6
7.4,0.55,0.22,2.2,0.9959,0.63,9.2,5
14,0.41,0.63,3.8,1.0014,0.81,10.8,6
11.5,0.54,0.71,4.4,0.9984,0.83,11.8,7
11.5,0.45,0.5,3,1.0003,1.11,11,6
11.4,0.625,0.66,6.2,0.9988,0.99,13.3,6
8.3,0.42,0.38,2.5,0.9979,0.7,10.8,6
8.3,0.26,0.42,2,0.9974,0.8,9.4,6
13.7,0.415,0.68,2.9,1.0014,0.8,10,6
7.7,0.51,0.28,2.1,0.998,0.74,9.2,5
7.4,0.63,0.07,2.4,0.9979,0.76,9.7,6
7.8,0.54,0.26,2,0.9981,0.74,9.2,6
8.3,0.66,0.15,1.9,0.9972,0.54,9.6,6
7.8,0.46,0.26,1.9,0.9981,0.74,9.2,6
9.6,0.38,0.31,2.5,0.9982,0.7,10,7
5.6,0.85,0.05,1.4,0.9924,0.82,12.9,8
9.5,0.37,0.52,2,0.998,0.51,9.5,5
8.4,0.665,0.61,2,0.997,0.54,9.1,5
12.7,0.6,0.65,2.3,0.9997,0.57,9.9,5
12,0.37,0.76,4.2,1.0004,0.6,13,7
6.6,0.735,0.02,7.9,0.9994,0.53,9.9,5
11.5,0.59,0.59,2.6,0.9988,0.65,11,6
8.7,0.765,0.22,2.3,0.9963,0.55,9.4,5
7.7,0.26,0.3,1.7,0.9949,0.47,10.8,6
12.2,0.48,0.54,2.6,1,0.61,10.5,6
11.4,0.6,0.49,2.7,0.9994,0.63,10.5,6
7.7,0.69,0.05,2.7,0.9974,0.61,9.1,5
8.7,0.31,0.46,1.4,0.9966,0.76,10.1,6
9.8,0.44,0.47,2.5,0.9981,0.65,10.8,6
12,0.39,0.66,3,0.9996,0.63,10.8,7
10.4,0.34,0.58,3.7,0.997,0.7,11.3,6
12.5,0.46,0.49,4.5,0.9981,0.57,9.6,4
9,0.43,0.34,2.5,0.9987,0.62,9.5,6
9.1,0.45,0.35,2.4,0.9987,0.62,9.5,5
7.1,0.735,0.16,1.9,0.9966,0.64,9.3,5
9.9,0.4,0.53,6.7,0.9986,0.82,11.7,7
8.8,0.52,0.34,2.7,0.9982,0.61,9.5,5
8.6,0.725,0.24,6.6,1.0014,1.07,9.3,5
10.6,0.48,0.64,2.2,0.997,0.66,11.7,6
7,0.58,0.12,1.9,0.9956,0.48,10.5,5
11.9,0.38,0.51,2,0.9996,0.76,10.4,6
6.8,0.77,0,1.8,0.9976,0.68,9.9,5
9.5,0.56,0.33,2.4,0.9972,0.73,11.8,7
6.6,0.84,0.03,2.3,0.9952,0.56,12.3,7
7.7,0.96,0.2,2,0.9955,0.44,10.9,5
10.5,0.24,0.47,2.1,0.9978,0.9,11,7
6.4,0.67,0.08,2.1,0.9949,0.49,11.4,6
9.5,0.78,0.22,1.9,0.9988,0.56,10.6,6
9.1,0.52,0.33,1.3,0.9978,0.6,9.3,5
12.8,0.84,0.63,2.4,0.9997,0.6,10.4,6
7.8,0.55,0.35,2.2,0.9974,0.56,9.2,5
11.9,0.37,0.69,2.3,0.9958,0.65,12.8,6
12.3,0.39,0.63,2.3,1.0004,0.49,9.5,5
10.4,0.41,0.55,3.2,0.9996,0.89,9.9,6
8,0.67,0.3,2,0.9958,0.56,10.2,6
11.1,0.45,0.73,3.2,0.9986,0.66,11.2,6
7,0.62,0.18,1.5,0.9951,0.6,9.3,5
12.6,0.31,0.72,2.2,0.9987,0.82,9.8,8
11.9,0.4,0.65,2.15,0.9988,0.68,11.3,6
15.6,0.685,0.76,3.7,1.0032,0.68,11.2,7
10,0.44,0.49,2.7,0.9963,0.63,11.6,7
5.3,0.57,0.01,1.7,0.9934,0.84,12.5,7
9.5,0.735,0.1,2.1,0.9986,0.56,10.1,6
12.5,0.38,0.6,2.6,0.9996,0.73,10.5,5
9.3,0.48,0.29,2.1,0.9968,0.72,11.2,5
8.6,0.53,0.22,2,0.9967,0.56,10.2,6
11.9,0.39,0.69,2.8,0.9994,0.61,10.8,6
8.4,0.37,0.53,1.8,0.9979,1.06,9.1,6
6.8,0.56,0.03,1.7,0.9968,0.63,10,6
10.4,0.33,0.63,2.8,0.9998,0.74,11.2,7
7,0.23,0.4,1.6,0.9952,0.63,11.1,5
11.3,0.62,0.67,5.2,0.9988,0.69,13.4,8
8.9,0.59,0.39,2.3,0.9986,0.58,10.3,5
9.2,0.63,0.21,2.7,0.9988,0.58,9.6,5
11.6,0.58,0.66,2.2,1.0008,0.57,9,3
9.2,0.43,0.52,2.3,0.9976,0.61,11.3,6
8.3,0.615,0.22,2.6,0.9982,0.61,9.3,5
11,0.26,0.68,2.55,0.997,0.61,11.8,5
8.1,0.66,0.7,2.2,0.9972,0.53,9,5
11.5,0.315,0.54,2.1,0.9987,0.7,9.2,6
10,0.29,0.4,2.9,1.0006,0.91,9.7,5
10.3,0.5,0.42,2,0.9982,0.72,11.5,6
8.8,0.46,0.45,2.6,0.9947,0.79,14,6
11.4,0.36,0.69,2.1,1,0.62,9.2,6
8.7,0.82,0.02,1.2,0.9952,0.58,9.8,5
13,0.32,0.65,2.6,0.9996,0.61,10.6,5
9.6,0.54,0.42,2.4,0.997,0.71,11.4,6
12.5,0.37,0.55,2.6,0.9995,0.82,10.4,6
9.9,0.35,0.55,2.1,0.9971,0.79,10.6,5
10.5,0.28,0.51,1.7,0.9982,0.89,9.4,6
9.6,0.68,0.24,2.2,0.9988,0.6,10.2,5
9.3,0.27,0.41,2,0.998,0.7,9.7,5
10.4,0.24,0.49,1.8,0.9977,1.06,11,6
9.4,0.685,0.11,2.7,0.9984,0.7,10.1,6
10.6,0.28,0.39,15.5,1.0026,0.66,9.2,5
9.4,0.3,0.56,2.8,0.9964,0.92,11.7,8
10.6,0.36,0.59,2.2,0.9986,1.05,9.4,5
10.6,0.36,0.6,2.2,0.9986,1.06,9.4,5
10.6,0.44,0.68,4.1,0.997,0.66,13.4,6
10.2,0.67,0.39,1.9,0.9976,0.47,10,5
10.2,0.645,0.36,1.8,0.9982,0.42,10,6
11.6,0.32,0.55,2.8,1.0002,0.92,10.8,7
9.3,0.39,0.4,2.6,0.9984,0.75,10.2,6
9.3,0.775,0.27,2.8,0.9984,0.67,10.6,6
9.2,0.41,0.5,2.5,0.9952,0.79,13.3,7
8.9,0.4,0.51,2.6,0.995,0.9,13.4,7
8.7,0.69,0.31,3,1.0002,0.74,11.6,6
6.5,0.39,0.23,8.3,0.9952,0.55,12.1,6
10.7,0.35,0.53,2.6,0.9972,0.65,11,8
7.8,0.52,0.25,1.9,0.9984,0.65,9,6
7.2,0.34,0.32,2.5,0.9966,0.79,11.1,5
10.4,0.44,0.73,6.55,0.999,0.85,12,7
10.5,0.26,0.47,1.9,0.9976,1.04,10.9,7
10.5,0.24,0.42,1.8,0.9976,1.05,10.8,7
10.2,0.49,0.63,2.9,0.9968,0.78,12.5,7
10.4,0.24,0.46,1.8,0.9976,1.02,10.8,7
11.2,0.67,0.55,2.3,1,0.71,9.5,6
10,0.59,0.31,2.2,0.9994,0.63,10.2,6
13.3,0.29,0.75,2.8,0.9986,0.68,11.4,7
12.4,0.42,0.49,4.6,0.9978,0.61,9.5,5
10.7,0.4,0.48,2.1,0.998,0.81,9.7,6
10.5,0.51,0.64,2.4,0.9973,0.66,11.8,7
8.5,0.655,0.49,6.1,1.001,1.14,9.3,5
12.5,0.6,0.49,4.3,1.001,0.74,11.9,6
10.4,0.61,0.49,2.1,0.9994,0.63,8.4,3
10.9,0.21,0.49,2.8,0.9972,0.68,11.7,6
7.3,0.365,0.49,2.5,0.9966,0.78,11,5
9.8,0.25,0.49,2.7,0.9982,0.9,10,6
7.6,0.41,0.49,2,0.998,0.64,9.1,5
8.2,0.39,0.49,2.3,0.9979,0.99,9.8,5
9.3,0.4,0.49,2.5,0.9978,0.55,9.4,5
9.2,0.43,0.49,2.4,0.9976,0.64,9.5,5
10.4,0.64,0.24,2.8,0.9998,0.67,9.9,5
7,0.38,0.49,2.5,0.9962,0.77,11.4,6
8.2,0.42,0.49,2.6,0.9988,0.75,8.7,6
9.9,0.63,0.24,2.4,0.9974,0.57,9.4,5
9.1,0.22,0.24,2.1,0.999,0.87,10.3,6
